row_id,Harvest_method,Fruit_total_norm,speed_tot_norm,stem_tot_norm,stem_ht_norm,branch_cnt_norm,fruit_loss_norm,Total_fruit_norm
269,1,0.157427938,0.487798581,0.6,0.450686767,0.035716008,0.025974026,0.145869514
270,1,0.259423503,0.733492687,0.293333333,0.126092509,0.285715561,0.81300813,0.145869514
271,1,0.077605322,0.274030827,0.16,0.498127466,0.232144228,0.536585366,0.053762907
272,1,0.283813747,0.551651286,0.36,0.357053808,0.339286894,0.029850746,0.053762907
273,1,0.261640798,0.829271746,0.213333333,0.212234831,0.303572672,0.661290323,0.053762907
274,0,0.310421286,0.001370406,0.253333333,0.26092397,0.26785845,0,0.295364051
275,0,0.33481153,0.006330445,0.52,0.268414607,0.464286671,0.006369427,0.295364051
276,0,0.432372506,0.011290484,0.4,0.232209863,0.357144005,0.004975124,0.295364051
277,1,0.044345898,0.18519228,0.573333333,0.475655555,0.410715338,0.230769231,0.055856239
278,1,0.23059867,0.373974192,0.373333333,0.299625593,0.303572672,0.181818182,0.055856239
279,1,0.11308204,0.562756105,0.213333333,0.304619351,0.178572895,0.684210526,0.055856239
280,1,0.053215078,0.224059144,0.52,0.424469538,0.553572226,1,0.01577659
281,1,0.066518847,0.451707921,0.226666667,0.213483271,0.303572672,0.583333333,0.01577659
282,1,0.155210643,0.679356698,0.24,0.254681773,0.339286894,0.802631579,0.01577659
283,1,0.341463415,0.200461405,0.293333333,0.485643071,0.428572449,0.375,0.136321878
284,1,0.274944568,0.404512443,0.346666667,0.304619351,0.303572672,0.1,0.136321878
285,1,0.22172949,0.608563481,0.28,0.392010112,0.392858227,0.273584906,0.136321878
286,0,0.168514412,0.00111466,0.24,0.364544445,0.571429337,0.073170732,0.473961008
287,0,0.190687361,0.005818952,0.48,0.435705493,0.357144005,0.206521739,0.473961008
288,0,0.310421286,0.010523245,0.373333333,0.435705493,0.392858227,0,0.473961008
289,1,0.168514412,0.26986652,0.253333333,0.69413246,0.285715561,0.829268293,0.199377121
290,1,0.317073171,0.543322673,0.186666667,0.337078776,0.375001116,0.033557047,0.199377121
291,1,0.523281596,0.816778825,0.36,0.245942697,0.178572895,0.524793388,0.199377121
292,0,0.252771619,0.000841155,0.186666667,0.566791636,0.232144228,0.375,0.410037797
293,0,0.073170732,0.005271942,0.573333333,0.212234831,0.178572895,0,0.410037797
294,0,0.33481153,0.009702729,0.533333333,0.253433333,0.285715561,0,0.410037797
295,1,0.075388027,0.204625712,0.173333333,0.600499501,0.107144452,1,0.147707562
296,1,0.101995565,0.412841057,0.4,0.606741698,0.142858673,0.826923077,0.147707562
297,1,0.514412417,0.621056401,0.346666667,0.294631835,0.339286894,0.138655462,0.147707562
298,1,0.190687361,0.225447247,0.12,0.559300999,0.035716008,0.630434783,0.385683667
299,1,0.414634146,0.454484126,0.546666667,0.481897753,0.160715784,0.284974093,0.385683667
